Date,Open,High,Low,Close,Volume
03/30/2022,1.11306E+005,1.12772E+005,1.10385E+005,1.10893E+005,0.00000E+000
03/31/2022,1.11456E+005,1.11456E+005,1.07246E+005,1.07359E+005,0.00000E+000
04/01/2022,1.06908E+005,1.10246E+005,1.06607E+005,1.09427E+005,0.00000E+000
04/04/2022,1.08417E+005,1.09201E+005,1.06156E+005,1.08186E+005,0.00000E+000
04/05/2022,1.09502E+005,1.09765E+005,1.06964E+005,1.08412E+005,0.00000E+000
04/06/2022,1.05667E+005,1.05761E+005,1.01307E+005,1.02773E+005,0.00000E+000
04/07/2022,1.01946E+005,1.02999E+005,1.01081E+005,1.01758E+005,0.00000E+000
04/08/2022,1.00630E+005,1.03525E+005,9.96154E+004,1.00292E+005,0.00000E+000
04/11/2022,9.61194E+004,9.68148E+004,9.33377E+004,9.36384E+004,0.00000E+000
04/12/2022,9.51421E+004,9.51924E+004,9.20220E+004,9.20596E+004,0.00000E+000
04/13/2022,9.33655E+004,9.75855E+004,9.32249E+004,9.64953E+004,0.00000E+000
04/14/2022,9.67209E+004,9.70216E+004,9.29242E+004,9.35257E+004,0.00000E+000
04/18/2022,9.25483E+004,9.64953E+004,9.16461E+004,9.54428E+004,0.00000E+000
04/19/2022,9.61946E+004,9.81493E+004,9.60067E+004,9.74727E+004,0.00000E+000
04/20/2022,9.88635E+004,9.89763E+004,9.59127E+004,9.67585E+004,0.00000E+000
04/21/2022,1.00668E+005,1.01006E+005,9.67209E+004,9.67585E+004,0.00000E+000
04/22/2022,9.49165E+004,9.53488E+004,9.18905E+004,9.25859E+004,0.00000E+000
04/25/2022,9.09319E+004,9.48037E+004,9.06124E+004,9.43527E+004,0.00000E+000
04/26/2022,9.43527E+004,9.44278E+004,8.86953E+004,8.96914E+004,0.00000E+000
04/27/2022,9.14206E+004,9.26611E+004,9.01049E+004,9.10823E+004,0.00000E+000
04/28/2022,9.24731E+004,9.48789E+004,9.11574E+004,9.37512E+004,0.00000E+000
04/29/2022,9.14582E+004,9.23603E+004,8.93155E+004,8.96162E+004,0.00000E+000
05/02/2022,9.08943E+004,9.16837E+004,8.90336E+004,9.02177E+004,0.00000E+000
05/03/2022,8.98418E+004,9.00673E+004,8.76239E+004,8.80750E+004,0.00000E+000
05/04/2022,9.14958E+004,9.38640E+004,9.03680E+004,9.34881E+004,0.00000E+000
05/05/2022,9.23603E+004,9.23603E+004,8.31506E+004,8.49926E+004,0.00000E+000
05/06/2022,8.40528E+004,8.51053E+004,8.24364E+004,8.41656E+004,0.00000E+000
05/09/2022,7.65347E+004,7.81511E+004,7.09337E+004,7.22869E+004,0.00000E+000
05/10/2022,7.51062E+004,7.57077E+004,7.20242E+004,7.30763E+004,0.00000E+000
05/11/2022,6.96559E+004,7.47303E+004,6.80392E+004,6.83399E+004,0.00000E+000
05/12/2022,6.65355E+004,6.97120E+004,6.47579E+004,6.65731E+004,0.00000E+000
05/13/2022,7.14599E+004,7.25125E+004,6.86406E+004,7.02194E+004,0.00000E+000
05/16/2022,6.97683E+004,6.99939E+004,6.78888E+004,6.88662E+004,0.00000E+000
05/17/2022,7.14223E+004,7.19110E+004,6.88286E+004,7.01818E+004,0.00000E+000
05/18/2022,6.87910E+004,6.91105E+004,6.69866E+004,6.81519E+004,0.00000E+000
05/19/2022,6.92421E+004,7.13471E+004,6.85278E+004,6.99939E+004,0.00000E+000
05/20/2022,7.07833E+004,7.10464E+004,6.69490E+004,6.83775E+004,0.00000E+000
05/23/2022,7.11216E+004,7.14223E+004,6.78136E+004,6.78136E+004,0.00000E+000
05/24/2022,6.83023E+004,6.91669E+004,6.67987E+004,6.84903E+004,0.00000E+000
05/25/2022,6.87534E+004,7.01818E+004,6.85654E+004,6.89789E+004,0.00000E+000
05/26/2022,6.57461E+004,6.96180E+004,6.57085E+004,6.85278E+004,0.00000E+000
05/27/2022,6.81144E+004,6.86030E+004,6.57273E+004,6.72498E+004,0.00000E+000
05/31/2022,7.43544E+004,7.58017E+004,7.28884E+004,7.37905E+004,0.00000E+000
06/01/2022,7.44296E+004,7.45424E+004,6.96932E+004,7.01067E+004,0.00000E+000
06/02/2022,6.95804E+004,7.10840E+004,6.93173E+004,7.07081E+004,0.00000E+000
06/03/2022,6.89413E+004,6.93924E+004,6.81519E+004,6.89413E+004,0.00000E+000
06/06/2022,7.34522E+004,7.42743E+004,7.25125E+004,7.35274E+004,0.00000E+000
06/07/2022,6.89413E+004,7.33019E+004,6.85466E+004,7.25125E+004,0.00000E+000
06/08/2022,7.08585E+004,7.20050E+004,6.96932E+004,7.02194E+004,0.00000E+000
06/09/2022,7.03322E+004,7.10464E+004,6.97311E+004,6.98811E+004,0.00000E+000
06/10/2022,6.85278E+004,6.91248E+004,6.70667E+004,6.74753E+004,0.00000E+000
06/13/2022,5.45065E+004,5.64612E+004,5.26270E+004,5.38299E+004,0.00000E+000
06/14/2022,5.24390E+004,5.31157E+004,5.12549E+004,5.16120E+004,0.00000E+000
06/15/2022,4.98456E+004,5.22511E+004,4.71763E+004,5.03715E+004,0.00000E+000
06/16/2022,4.95445E+004,4.99768E+004,4.82289E+004,4.85672E+004,0.00000E+000
06/17/2022,4.80409E+004,4.87130E+004,4.73643E+004,4.78154E+004,0.00000E+000
06/21/2022,4.93190E+004,5.06535E+004,4.85672E+004,4.86800E+004,0.00000E+000
06/22/2022,4.78906E+004,4.86424E+004,4.60862E+004,4.68756E+004,0.00000E+000
06/23/2022,4.78154E+004,4.87551E+004,4.68380E+004,4.86800E+004,0.00000E+000
06/24/2022,4.94694E+004,4.98453E+004,4.83796E+004,4.94694E+004,0.00000E+000
06/27/2022,4.94318E+004,4.94318E+004,4.74771E+004,4.83792E+004,0.00000E+000
06/28/2022,4.88679E+004,4.90935E+004,4.68004E+004,4.68756E+004,0.00000E+000
06/29/2022,4.66877E+004,4.71011E+004,4.61050E+004,4.69132E+004,0.00000E+000
06/30/2022,4.45829E+004,4.46953E+004,4.34361E+004,4.36428E+004,0.00000E+000
07/01/2022,4.46953E+004,4.56351E+004,4.45450E+004,4.49585E+004,0.00000E+000
07/05/2022,4.49209E+004,4.76274E+004,4.47329E+004,4.74771E+004,0.00000E+000
07/06/2022,4.69132E+004,4.75898E+004,4.65373E+004,4.72139E+004,0.00000E+000
07/07/2022,4.74019E+004,5.08978E+004,4.72891E+004,5.08602E+004,0.00000E+000
07/08/2022,4.96197E+004,5.14429E+004,4.92062E+004,5.06723E+004,0.00000E+000
07/11/2022,4.77402E+004,4.81537E+004,4.69696E+004,4.75898E+004,0.00000E+000
07/12/2022,4.61614E+004,4.64997E+004,4.46578E+004,4.49209E+004,0.00000E+000
07/13/2022,4.40939E+004,4.64621E+004,4.38683E+004,4.55599E+004,0.00000E+000
07/14/2022,4.57479E+004,4.85292E+004,4.55261E+004,4.79281E+004,0.00000E+000
07/15/2022,4.87175E+004,4.92438E+004,4.80033E+004,4.92438E+004,0.00000E+000
07/18/2022,5.16872E+004,5.30029E+004,4.96949E+004,5.02588E+004,0.00000E+000
07/19/2022,5.19128E+004,5.51080E+004,5.12361E+004,5.45441E+004,0.00000E+000
07/20/2022,5.55591E+004,5.64800E+004,5.44689E+004,5.50328E+004,0.00000E+000
07/21/2022,5.28149E+004,5.40930E+004,5.19503E+004,5.40930E+004,0.00000E+000
07/22/2022,5.48824E+004,5.53147E+004,5.24014E+004,5.25518E+004,0.00000E+000
07/25/2022,5.09354E+004,5.11952E+004,5.01084E+004,5.08978E+004,0.00000E+000
07/26/2022,4.86424E+004,4.89803E+004,4.81161E+004,4.85672E+004,0.00000E+000
07/27/2022,4.94694E+004,5.37175E+004,4.94694E+004,5.30781E+004,0.00000E+000
07/28/2022,5.38299E+004,5.61981E+004,5.29089E+004,5.55966E+004,0.00000E+000
07/29/2022,5.50704E+004,5.64988E+004,5.46193E+004,5.57470E+004,0.00000E+000
08/01/2022,5.37359E+004,5.46945E+004,5.31345E+004,5.34164E+004,0.00000E+000
08/02/2022,5.29277E+004,5.45065E+004,5.26646E+004,5.33412E+004,0.00000E+000
08/03/2022,5.40554E+004,5.48448E+004,5.39239E+004,5.46193E+004,0.00000E+000
08/04/2022,5.32660E+004,5.38299E+004,5.19691E+004,5.19879E+004,0.00000E+000
08/05/2022,5.34916E+004,5.43186E+004,5.27773E+004,5.32660E+004,0.00000E+000
08/08/2022,5.58974E+004,5.64612E+004,5.52959E+004,5.55966E+004,0.00000E+000
08/09/2022,5.40178E+004,5.41306E+004,5.30025E+004,5.34916E+004,0.00000E+000
08/10/2022,5.60853E+004,5.61981E+004,5.45817E+004,5.48824E+004,0.00000E+000
08/11/2022,5.72130E+004,5.79273E+004,5.58974E+004,5.63109E+004,0.00000E+000
08/12/2022,5.52583E+004,5.63485E+004,5.49764E+004,5.62357E+004,0.00000E+000
08/15/2022,5.59726E+004,5.63485E+004,5.55779E+004,5.56342E+004,0.00000E+000
08/16/2022,5.54839E+004,5.57846E+004,5.47696E+004,5.55215E+004,0.00000E+000
08/17/2022,5.47696E+004,5.48636E+004,5.37171E+004,5.37923E+004,0.00000E+000
08/18/2022,5.44689E+004,5.44689E+004,5.37923E+004,5.40930E+004,0.00000E+000
08/19/2022,4.97325E+004,4.99956E+004,4.87739E+004,4.91686E+004,0.00000E+000
08/22/2022,4.89055E+004,4.96573E+004,4.83792E+004,4.86048E+004,0.00000E+000
08/23/2022,4.95445E+004,5.01836E+004,4.93675E+004,4.98077E+004,0.00000E+000
